name,ra,dec,l,b,N,velocity,distance,members
M81,152.5,69.0999984741211,42.0,2.0,11,127.0,12.0,"2976,3031,3034,3077,4236,IC2574,UGC5139,UGC5247,UGC5336,UGC5692,UGC8201."
Maffei,57.25,68.0,11.0,0.0,5,171.0,10.0,"1560,1569,IC342,UGCA92,UGCA105."
Sculptor,9.0,-31.0,265.0,-4.0,8,177.0,9.0,"55,247,253,300,7793,IC1574,ESO471-6,ESO540-31."
NGC2403,115.75,66.69999694824219,31.0,-7.0,3,231.0,12.0,"2366,2403,UGC4305."
Canes I,184.5,35.79999923706055,80.0,2.0,10,294.0,13.0,"4150,4163,4190,4214,4244,4395,UGC6817,UGC7559,UGC7599,UGC7698."
M101,210.75,54.599998474121094,63.0,23.0,7,363.0,25.0,"5204,5457,5474,5585,UGC8508,UGC8837,UGC9405."
NGC5128,201.25,-41.599998474121094,158.0,-5.0,15,390.0,14.0,"4945,5102,5128,5206,5236,5237,5253,5264,5408,ESO270-17,ESO324-24,ESO325-11,ESO381-20,ESO383-87,PGC51659."
NGC672,27.75,27.799999237060547,327.0,-5.0,3,458.0,20.0,"672,784,IC1727."
NGC5194,197.25,44.0,74.0,13.0,17,466.0,25.0,"4449,4736,5023,5055,5194,5195,5229,5238,IC3687,IC4182,IC4263,UGC7577,UGC7949,UGC8313,UGC8320,UGC8331,UGC8651."
NGC3115,151.25,-7.699999809265137,112.0,-43.0,3,494.0,30.0,"3115,MCG-1-26-12,MCG-1-26-21."
NGC45,3.25,-23.399999618530273,271.0,3.0,3,503.0,20.0,"24,45,59."
NGC2835,138.5,-23.5,135.0,-56.0,4,547.0,30.0,"2784,2835,ESO564-30,ESO565-1."
Canes II,185.5,45.400001525878906,71.0,6.0,22,548.0,30.0,"4096,4144,4242,4248,4258,4288,4389,4460,4485,4490,4618,4625,UGC7267,UGC7271,UGC7301,UGC7408,UGC7608,UGC7639,UGC7690,UGC7699,UGC7719,UGC7774."
NGC2541,123.0,49.900001525878906,40.0,-22.0,3,565.0,30.0,"2500,2541,2552."
NGC7640,351.0,40.900001525878906,335.0,27.0,3,589.0,30.0,"7640,UGC12588,UGC12632."
NGC925,37.0,33.79999923706055,336.0,-9.0,4,671.0,35.0,"925,959,UGC1865,UGC1924."
Coma I,189.0,31.0,85.0,4.0,12,683.0,50.0,"4136,4278,4338,4393,4414,4448,4534,4559,4627,4631,4656,UGC7916."
NGC7713,354.0,-36.900001525878906,256.0,6.0,3,690.0,35.0,"7713,IC5332,ESO348-9."
